 ,Austins Ferry,Beaconsfield,Beauty Point,Bellerive,Bridport,Burnie,Cygnet,Deloraine,Devonport,Evandale,Franklin,Geeveston,George Town,Hobart,Huonville,Kettering,Latrobe,Launceston,Longford,Margate,New Norfolk,Penguin,Perth,Port Sorell,Queenstown,Rosebery,Sandford,Scottsdale,Seven Mile Beach,Sheffield,Smithton,St Helens,Ulverstone,Westbury,Wynyard
Austins Ferry,,223.89,228.75,20.36,261.90,321.81,70.82,189.16,276.75,167.92,61.97,76.42,233.36,17.03,54.37,49.14,268.09,184.49,180.77,36.93,19.96,305.92,166.83,271.10,233.42,287.59,35.62,240.26,33.53,266.33,407.66,238.36,293.57,210.21,340.24
Beaconsfield,,,4.91,233.70,83.29,112.48,290.53,64.80,67.42,60.10,281.68,296.14,36.39,236.97,274.09,268.86,61.74,40.83,64.56,256.64,248.87,96.59,57.45,56.08,261.82,219.35,239.62,99.98,232.11,104.77,198.34,197.62,84.25,51.04,130.92
Beauty Point,,,,238.56,88.15,114.50,295.39,69.65,69.44,64.96,286.54,301.00,41.24,241.83,278.94,273.72,63.75,45.69,69.42,261.50,253.73,98.61,62.30,58.10,263.84,221.37,244.48,104.84,236.97,109.62,200.35,202.48,86.27,55.89,132.94
Bellerive,,,,,271.72,319.68,59.71,224.23,274.62,177.74,50.86,65.32,243.18,6.15,43.26,38.04,265.96,194.31,183.52,25.82,38.46,303.79,176.65,268.97,251.92,306.09,14.50,250.08,16.47,264.20,405.53,248.18,291.45,208.08,338.11
Bridport,,,,,,197.02,328.21,128.50,151.96,97.78,319.36,333.82,56.81,274.65,311.76,306.54,146.27,78.25,102.24,294.32,286.55,181.13,95.12,140.62,346.36,303.89,277.30,21.62,269.79,168.47,282.87,119.26,168.78,112.35,215.45
Burnie,,,,,,,376.71,97.41,46.73,154.37,367.85,382.31,149.62,323.15,360.26,355.03,56.77,135.37,141.54,342.81,325.85,17.79,144.71,65.46,151.85,109.38,325.79,198.75,318.29,70.05,86.34,291.80,30.04,113.00,18.92
Cygnet,,,,,,,,258.03,331.14,234.26,23.62,38.08,299.70,54.24,16.45,22.18,322.48,250.84,249.64,34.40,88.83,360.31,233.18,325.50,302.29,356.46,75.08,306.61,72.99,320.72,462.06,304.71,347.97,264.61,394.64
Deloraine,,,,,,,,,52.16,60.24,249.89,264.35,87.16,204.95,242.29,237.07,43.51,52.09,47.41,224.85,193.49,81.34,50.58,51.28,199.02,156.55,231.66,112.35,224.16,41.75,183.08,197.67,68.99,17.45,115.66
Devonport,,,,,,,,,,109.50,322.98,337.44,104.75,278.28,315.39,310.16,11.90,90.50,96.67,297.94,280.98,31.20,99.84,20.59,196.43,153.96,280.92,153.87,273.42,31.13,132.94,246.93,18.85,68.13,65.52
Evandale,,,,,,,,,,,225.47,239.93,69.51,180.76,217.87,212.65,100.23,20.65,17.79,200.43,202.10,138.06,10.92,103.25,250.50,213.27,183.41,74.96,175.90,98.47,239.80,149.42,125.72,42.36,172.39
Franklin,,,,,,,,,,,,14.76,290.85,45.39,7.60,45.80,313.63,241.99,240.79,32.76,79.98,351.46,224.33,316.65,293.44,347.61,66.23,297.76,64.14,311.87,453.21,295.86,339.12,255.76,385.79
Geeveston,,,,,,,,,,,,,305.31,59.85,22.05,60.26,328.09,256.44,255.25,47.22,94.44,365.92,238.78,331.11,307.90,362.07,80.68,312.22,78.60,326.33,467.66,310.32,353.58,270.22,400.25
George Town,,,,,,,,,,,,,,246.01,283.12,277.90,99.21,49.62,73.60,265.68,257.91,134.06,66.49,93.56,299.30,256.82,248.66,73.30,241.15,126.28,235.81,170.94,121.72,72.56,168.39
Hobart,,,,,,,,,,,,,,,37.34,32.11,269.29,197.64,195.95,19.89,35.14,307.12,179.98,272.31,248.60,302.77,21.88,253.41,19.80,267.53,408.86,251.51,294.78,211.41,341.45
Huonville,,,,,,,,,,,,,,,,38.76,306.04,234.39,233.19,25.16,72.38,343.87,216.73,309.05,285.85,340.02,58.63,290.16,56.55,304.28,445.61,288.26,331.52,248.16,378.19
Kettering,,,,,,,,,,,,,,,,,300.74,229.10,227.90,12.22,67.09,338.57,211.44,303.76,280.55,334.72,53.34,284.87,51.25,298.98,440.32,282.97,326.23,242.87,372.90
Latrobe,,,,,,,,,,,,,,,,,,84.97,88.06,289.34,272.37,41.01,91.23,18.29,206.24,163.77,272.32,153.00,264.81,26.77,142.76,238.33,28.67,59.53,75.34
Launceston,,,,,,,,,,,,,,,,,,,24.08,216.16,208.39,120.01,16.96,79.50,256.78,205.11,199.14,63.56,191.63,90.31,221.75,160.74,107.66,34.19,154.33
Longford,,,,,,,,,,,,,,,,,,,,215.67,184.31,125.15,8.20,90.34,232.70,200.36,189.28,80.78,181.78,85.56,226.89,155.29,112.81,29.45,159.48
Margate,,,,,,,,,,,,,,,,,,,,,54.87,326.35,199.22,291.54,268.33,322.50,41.12,272.65,39.03,286.77,428.10,270.75,314.01,230.65,360.68
New Norfolk,,,,,,,,,,,,,,,,,,,,,,309.45,192.50,274.64,214.00,268.17,53.67,265.08,51.59,269.87,411.20,251.50,297.11,213.75,343.78
Penguin,,,,,,,,,,,,,,,,,,,,,,,126.92,47.67,168.53,126.06,308.01,180.96,300.50,52.26,105.05,274.02,12.25,95.22,37.63
Perth,,,,,,,,,,,,,,,,,,,,,,,,93.58,240.82,203.60,182.33,73.59,174.83,88.80,230.13,148.34,116.05,32.69,162.72
Port Sorell,,,,,,,,,,,,,,,,,,,,,,,,,215.13,172.66,275.19,142.66,267.69,42.12,151.64,239.84,37.55,62.42,84.22
Queenstown,,,,,,,,,,,,,,,,,,,,,,,,,,55.15,266.97,313.39,264.88,158.48,232.16,368.83,179.57,214.93,164.52
Rosebery,,,,,,,,,,,,,,,,,,,,,,,,,,,321.21,266.04,319.13,116.12,189.79,351.36,137.20,172.56,122.16
Sandford,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.77,10.93,269.89,411.22,253.87,297.13,213.77,343.80
Scottsdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.01,153.43,284.87,97.69,170.78,97.31,217.45
Seven Mile Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.44,403.77,243.40,289.69,206.33,336.36
Sheffield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.18,236.56,43.09,57.76,89.76
Smithton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.83,116.06,199.03,67.35
St Helens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.14,179.78,309.81
Ulverstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.05,49.63
Westbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.98
